,Tickers
0,AAPL
1,BAC
2,AMZN
3,T
4,GOOG
5,MO
6,DAL
7,AA
8,AXP
9,DD
10,BABA
11,ABT
12,UA
13,AMAT
14,AMGN
15,AAL
16,AIG
17,ALL
18,ADBE
19,GOOGL
20,ACN
21,ABBV
22,MT
23,LLY
24,AGN
25,APA
26,ADP
27,AKAM
28,NLY
29,ATVI
30,ADSK
31,ADM
32,WBA
33,ARNA
34,LUV
35,ACAD
36,PANW
37,AMD
38,AEP
39,ALXN
40,AVGO
41,EA
42,DB
43,AEM
44,APD
45,AMBA
46,NVS
47,ANF
48,LULU
49,RAD
50,BRK.AX
51,AGNC
52,JBLU
53,A
54,ORLY
55,FOLD
56,AZO
57,AN
58,AZN
59,AES
60,BUD
61,ARR
62,BDX
63,AKS
64,AB
65,ACOR
66,CS
67,AFL
68,ADI
69,ACIW
70,AMP
71,AVP
72,AMTD
73,AEO
74,AWK
75,NVO
76,ALTR
77,ALK
78,PAA
79,ARCC
80,AAP
81,NAT
82,FNMA
83,AIV
84,AGIO
85,AEE
86,UBS
87,AVXL
88,ARLP
89,ANTM
90,AG
91,ABC
92,ATI
93,ADT
94,AVB
95,ATW
96,ALNY
97,LH
98,AVY
99,AUY
100,ASH
101,AINV
102,ACHN
103,ABMD
104,ABM
105,LIFE
106,ATO
107,AON
108,ADXS
109,ADC
110,SAVE
111,AKRX
112,ADS
113,AYI
114,ASML
115,AMT
116,ACM
117,ATRS
118,ARW
119,ARI
120,AR
121,AMC
122,AL
123,AGEN
124,AAN
125,WTR
126,FCAU
127,BAH
128,AXAS
129,AVT
130,ALB
131,AIZ
132,SAIC
133,CAR
134,AU
135,APH
136,ANTH
137,AMX
138,AI
139,WMC
140,JKHY
141,AVAV
142,AMKR
143,ACH
144,ERC
145,AEIS
146,Y
147,CENX
148,ASPS
149,AMRN
150,AMPE
151,AMAG
152,ALKS
153,ADES
154,AAON
155,XLRN
156,VRSK
157,VJET
158,ATLS
159,APTS
160,APO
161,ALSK
162,ALG
163,AHC
164,ACTG
165,RBA
166,MAA
167,BAM
168,AT
169,ASX
170,ARCO
171,ANET
172,AIR
173,WAB
174,RS
175,PKG
176,AXDX
177,AVA
178,ATHX
179,ARWR
180,ANGI
181,AMG
182,ALSN
183,ALGN
184,AKBA
185,AGO
186,AEZS
187,ACRX
188,ROK
189,GLPI
190,DNI
191,AZZ
192,ATRC
193,ARMK
194,AOS
195,ANFI
196,AMCX
197,ALIM
198,ALE
199,AHT
200,ABB
201,AALI.JK
202,SPR
203,SEE
204,PAAS
205,DLPH
206,ADAC
207,CBL
208,BBVA
209,AYR
210,APOG
211,ANDE
212,AMSC
213,AMRS
214,AMED
215,ALEX
216,ALCO
217,ADUS
218,ACST
219,AAWW
220,WMS
221,PAG
222,MDRX
223,KLIC
224,ETH
225,AZPN
226,AXE
227,AMH
228,AME
229,AJG
230,AIQ
231,AGCO
232,AERI
233,ACRE
234,ABEO
235,WAL
236,NOG
237,HTA
238,GIII
239,CVU
240,ASTI
241,ARE
242,ANSS
243,AMNB
244,AMBS
245,AIN
246,AGX
247,AEG
248,ADTN
249,ADMS
250,ACLS
251,ABG
252,NXJ
253,HOLI
254,GPI
255,AXTA
256,AWR
257,AWI
258,AVEO
259,ATHM
260,ATAX
261,ASM
262,AROC
263,ANH
264,ALX
265,AGI
266,AER
267,AE
268,RHHBY
269,ODC
270,KAR
271,HUSA
272,FMS
273,DOX
274,CXW
275,AXS
276,AXL
277,AWX
278,AVID
279,ASNA
280,ASGN
281,ARDX
282,ARAY
283,APT
284,APDN
285,AMBC
286,ALGT
287,AIT
288,AIMC
289,AEL
290,AEHR
291,ACUR
292,ACHC
293,ACCO
294,TA
295,RPAI
296,MANH
297,LAMR
298,KYN
299,ATRO
300,ATNI
301,ARCW
302,APEI
303,AP
304,ANIK
305,ANGO
306,AMOT
307,AM
308,ALV
309,AKR
310,AEGN
311,ADS.DE
312,WRLD
313,UHAL
314,UAMY
315,SAH
316,NAII
317,CACC
318,ATSG
319,ASB
320,ARTX
321,AROW
322,ARCB
323,AMRK
324,ALRM
325,AGRX
326,ABEV
327,AAOI
328,USAP
329,STFC
330,STAY
331,SEED
332,RGA
333,IDSA
334,CEA
335,BREW
336,AXR
337,AVD
338,AUDC
339,ATRI
340,ATOS
341,ARC
342,APIC
343,AOSL
344,AMWD
345,ALLY
346,AIRI
347,ACGL
348,ACFN
349,ABR
350,ABCB
351,SAMG
352,RAIL
353,MITT
354,HASI
355,GOL
356,GIL
357,EAD
358,ATTO
359,ATR
360,ATNM
361,ASTC
362,ASR
363,ASC
364,ARTNA
365,AOD
366,ADRO
367,ACNB
368,AAT
369,ZNH
370,NFJ
371,LNT
372,KALU
373,HOMB
374,HIX
375,FAF
376,CAAS
377,BGR
378,AUPH
379,ATV
380,ATLC
381,APLE
382,ANY
383,ANIP
384,AMSWA
385,AMSF
386,ALLT
387,AKTX
388,AGYS
389,AGTC
390,AFG
391,ADDYY
392,WAIR
393,RESI
394,LND
395,ECF
396,DGLY
397,CIK
398,CII
399,CCD
400,AWRE
401,AVNW
402,APPF
403,AMCF
404,ALLE
405,AJRD
406,AHH
407,AGM
408,ADMA
409,AAME
410,TEO
411,SINO
412,OMAB
413,NOA
414,NCZ
415,MTT
416,JAGX
417,HIO
418,FAX
419,DIT
420,CRMT
421,CRESY
422,CGA
423,CAF
424,ATRA
425,ATEN
426,ATEC
427,ARDC
428,APPS
429,ANAT
430,AGHI
431,AEB
432,ADPT
433,ADMP
434,ACRS
435,ACC
436,ABEOW
437,ABDC
438,REX
439,PAC
440,NNA
441,NAUH
442,IGD
443,HMNY
444,GABC
445,ERH
446,BTI
447,AWF
448,AVX
449,ASUR
450,ASMB
451,ASFI
452,ASCC
453,ARES
454,AQMS
455,AMRC
456,AMOV
457,AKG
458,ACY
459,ABIO
460,VLRS
461,TEAM
462,SORL
463,NEN
464,NEA
465,JEQ
466,IGA
467,IDE
468,GBAB
469,FWP
470,EVTC
471,CHY
472,BTZ
473,BAYN.DE
474,AXU
475,AWP
476,ARQL
477,ARKR
478,AMRB
479,ALOT
480,AKER
481,AIB
482,AHPI
483,AGRO
484,ADX
485,ADAP
486,ACU
487,TKC
488,RZA
489,PRTS
490,POPE
491,PEO
492,NCV
493,NBB
494,MHF
495,IOTS
496,HYB
497,GAM
498,EOD
499,DLA
500,BRKS
501,AVK
502,AUBN
503,ASYS
504,ASA
505,AMPH
506,ALJJ
507,ALDX
508,AGR
509,AGD
510,AFC
511,AEY
512,ABUS
513,RYAM
514,PAHC
515,NAC
516,MZA
517,MGR
518,HYI
519,GNOW
520,FWRD
521,FEN
522,FEI
523,DAI.DE
524,CALI
525,AXGN
526,AVH
527,AVAL
528,AUMN
529,ATL
530,ASRVP
531,ASRV
532,ARTW
533,APWC
534,APAM
535,AMS
536,AMFC
537,AGFS
538,AEMD
539,ACV
540,ACBI
541,ABTX
542,AAMC
543,UNAM
544,TVE
545,TVC
546,HVCW
547,NSA
548,NKG
549,NAD
550,MPAA
551,LDP
552,JRI
553,JAX
554,GGM
555,EARS
556,EADSY
557,DMO
558,DEX
559,AZSEY
560,AXTI
561,ATLO
562,ASTE
563,ASND
564,ARL
565,APTO
566,AMTX
567,AI.PA
568,AFMD
569,AFFY
570,AFB
571,ABIL
572,WIW
573,TRAN.BA
574,ICG.AX
575,SBI
576,RKDA
577,PSF
578,NAZ
579,MNP
580,MMU
581,JTA
582,IAF
583,IAE
584,GCP
585,FTAI
586,FGB
587,FCO
588,EMD
589,DDAIF
590,CHI
591,CEE
592,BUI
593,AXSM
594,ALAN
595,AKZOY
596,AKO-A
597,AJX
598,AFH
599,ACP
600,CLA.AX
601,WRN
602,USA
603,PHX
604,JCE
605,JBR
606,JBK
607,IGI
608,HOPS
609,GER
610,EGIF
611,DYSL
612,CACG
613,BTA
614,ATP.TO
615,ASKH
616,AMRH
617,ALTX
618,ALA.TO
619,AKG.TO
620,AIR.PA
621,AIMT
622,AIF
623,AERG
624,ABX.TO
625,6599.KL
626,WIA
627,WEA
628,VKI
629,SKAS
630,SCD
631,AMLH
632,PAI
633,ORG.AX
634,NKX
635,NBRV
636,MOG-A
637,MAV
638,JPI
639,JBN
640,HCACW
641,GGZ
642,FBGX
643,EXD
644,EHI
645,EAE
646,DFP
647,DDF
648,CS.PA
649,BGY
650,BBD-A.TO
651,BAM-A.TO
652,AVL.TO
653,ATH.TO
654,ASG
655,AQA.TO
656,ANZ.AX
657,ANTM.JK
658,ANDAU
659,ALYI
660,ALO.PA
661,ALLM
662,AIRT
663,AIC
664,AC
665,AC.PA
666,ABI.BR
667,XRF.AX
668,WOW.AX
669,WDI.DE
670,TPZ
671,SIEGY
672,SDCJF
673,QBE.AX
674,PAACR
675,NZF
676,NVG
677,NUW
678,NIE
679,MYHI
680,MT.AS
681,IAG.TO
682,HJV
683,GLV
684,FIEE
685,BXB.AX
686,BHP.AX
687,AV.L
688,ATA.TO
689,ASPN
690,ASII.JK
691,ARBV
692,AOXY
693,ALV.DE
694,AKRA.JK
695,AKO-B
696,AINC
697,AGFSW
698,AD.TO
699,ACNV
700,ABCP
701,AAU
702,3264.TWO
703,STO.AX
704,PACQF
705,MQG.AX
706,MLPB
707,MHNC
708,KTE.AX
709,JDD
710,IPT.AX
711,IAIC
712,HNNA
713,HCACU
714,GYC
715,GTN-A
716,GFY
717,FSAM
718,FMAO
719,CRP.TO
720,BBCA.JK
721,AVOI
722,AVGR
723,AUNFF
724,ATD-B.TO
725,ASNB
726,ARX.TO
727,ARTH
728,APIC.JK
729,ANDA
730,ANAS
731,AMPG
732,AMNF
733,AMEH
734,ALB.TO
735,AKSO.OL
736,AHT.L
737,AFN.TO
738,AFGH
739,AF.PA
740,AEYE
741,AERO
742,ACDVF
743,ABBB
744,WTER
745,WPL.AX
746,WNS.AX
747,WIHL.ST
748,WHC.AX
749,WES.AX
750,VWS.CO
751,AAWC
752,VOLV-B.ST
753,VMS.AX
754,UCW.AX
755,TZL.AX
756,TLS.AX
757,TGRO
758,TFECY
759,SXL.AX
760,CBAI
761,SIGL
762,SCA-A.ST
763,SAS.ST
764,REA.AX
765,RBA.TO
766,LEAS
767,PACT.ST
768,PAAC
769,NHYDY
770,NAB.AX
771,LUND-B.ST
772,LMFA
773,LGI
774,LER.AX
775,LCT.AX
776,LAU.AX
777,LAME4.SA
778,KOV.AX
779,KME.AX
780,JMLP
781,IVX.DE
782,IRI.AX
783,IGAP
784,ALME
785,HLDX.ST
786,HIL.AX
787,HCAC
788,HADV
789,GIL.TO
790,GDO
791,GCV
792,FUTU
793,AWON
794,FBAK
795,FABK
796,ESOA
797,ELUXY
798,EAB
799,E5H.SI
800,DTEGY
801,DBRM
802,CPU.AX
803,CMW.AX
804,UAHC
805,CLAS-B.ST
806,CBA.AX
807,CARL-B.CO
808,BILL.ST
809,BHARTIARTL.NS
810,BAYRY
811,BAC-PL
812,AZN.L
813,AXFO.ST
814,AXAHY
815,AUSI
816,ATD-A.TO
817,ATAR
818,ASURB.MX
819,ASML.AS
820,ASHOKLEY.NS
821,ASCS
822,AQN.TO
823,APY.TO
824,AOREF
825,ANPDF
826,ANN.AX
827,AMUB
828,AMM.TO
829,AMIN
830,AMBZ
831,ALYE
832,ALRT
833,ALNPY
834,AKTS
835,AJX.TO
836,AIM.TO
837,AHII
838,AGL.L
839,AGIN
840,AFBG
841,AEM.TO
842,ADTM
843,ADMF.JK
844,ADHI.JK
845,ADES.JK
846,ACQ.TO
847,ACCA
848,0522.HK
849,ZGL.AX
850,XANO-B.ST
851,WSA.AX
852,WOR.AX
853,WEC.AX
854,WBC.NZ
855,WBC.AX
856,WBA.AX
857,WALMEX.MX
858,VWS.DE
